ID,Difference
8693108681,2816.78
0779055970,9515.89
3530031626,-6485.81
5801301476,-1725.11
9329444052,927.76
1525127769,-1444.47
7534001211,-5981.86
2860491560,-9756.32
0935462556,5699.17
1441516011,-9678.69
1996123508,-735.23
0264545350,4769.52
8827773266,2635.84
1107966158,-1142.52
0455312481,-158.36
0526293463,3946.78
9696992652,-3266.68
0455312481,-5934.57
0779055970,829.60
6474350487,-9287.54
0331725610,-8277.50
5568888356,7804.24
9636711279,-4560.61
5960224507,-9703.08
0562250675,2320.82
7277317238,3125.02
5420522426,-2834.47
3823383916,5040.24
6484488235,998.95
3554834990,7621.70
5298692678,2844.50
0215789363,1619.72
7100574604,-9495.65
7036306139,9017.12
5410144743,-1261.62
1822324553,-5314.89
3610116413,8745.33
2936060139,-2759.17
7098817253,5334.78
8640645616,-9758.00
1549327115,-2131.32
4954772071,-3118.70
1384977220,-6673.56
3043118208,5946.01
3547041797,5485.67
7760303375,-9039.54
9978392127,-5259.99
4923790256,3949.79
9141904021,3641.18
9379973291,-869.25
9640538685,5582.43
8402343921,2386.98
3912216975,4399.13
8981795831,-5285.70
1542914570,-2962.64
6547030393,-8103.70
9973323629,5814.74
9105047265,-9511.29
0235019653,5556.76
3292658088,-1975.87
2581018701,-7621.18
9496080111,-7634.10
9328787737,9841.83
5428803173,-1199.63
4306339937,9915.63
1107966158,1315.56
1474031033,-6358.03
1728129274,4705.57
1996123508,-3133.03
6863848302,-4515.21
6547030393,-5645.18
7868589741,6924.14
6860598757,2284.97
6455446391,8767.09
0558967549,4614.29
8693108681,-1559.28
0154434369,-699.43
4691895527,5884.13
3721613488,-8419.45
0625432511,-5741.70
7291675340,964.78
3670120949,7427.51
9335117407,-1231.87
0660530762,-4420.19
6366253426,2616.57
1573005383,9362.50
3422078959,4524.98
7707675536,8014.77
5354219413,-2993.76
3392202478,-9451.22
0369300156,-5179.93
9496080111,4366.76
1053982605,7782.17
9290591655,6559.01
6520240668,-208.78
1596861742,-9138.69
3635953722,-4544.35
1422323692,-589.40
0053203537,4595.49
0525723787,7436.57
9890834319,-5077.25
1163708254,778.29
2143810803,-168.62
1480009564,-2430.68
8845699269,5842.02
9136370983,-3232.35
3484307460,-3894.74
7813894344,-6241.82
0263489600,7581.14
1968399729,-4599.79
6129235515,2387.14
9141904021,8054.40
6506299880,-2966.16
0344909346,-126.16
4195672066,-6513.97
4105276013,-4056.26
9653530091,-5561.21
9711055325,-4866.77
9557246370,2897.86
9256416523,7609.56
0250366380,718.10
8645377100,484.22
9978392127,-8851.06
3422078959,-554.47
9165786755,5067.18
3422078959,6138.40
0732359945,4525.80
6196039860,6441.63
3555419981,-4059.92
